"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","2017-04-07",,,,,"0.83","0.0","0.0",,"49","39","44",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-08",,,,,"0.01","0.0","0.0",,"48","38","40",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-09",,,,,"0.00","0.0","0.0",,"55","30","30",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-10",,,,,"0.00","0.0","0.0",,"67","30","42",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-11",,,,,"0.00","0.0","0.0",,"77","41","53",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-12",,,,,"0.00","0.0","0.0",,"85","53","56",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-13",,,,,"0.03","0.0","0.0",,"74","46","46",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-14",,,,,"0.00","0.0","0.0",,"62","40","48",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-15",,,,,"0.00","0.0","0.0",,"66","38","50",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-16",,,,,"0.00","0.0","0.0",,"66","50","63",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-17",,,,,"0.01","0.0","0.0",,"80","61","65",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-18",,,,,"0.00","0.0","0.0",,"71","47","47",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-19",,,,,"0.00","0.0","0.0",,"68","43","43",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-20",,,,,"0.02","0.0","0.0",,"54","43","48",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-21",,,,,"0.54","0.0","0.0",,"66","48","48",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-22",,,,,"0.15","0.0","0.0",,"55","48","49",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-23",,,,,"0.04","0.0","0.0",,"56","42","42",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-24",,,,,"0.00","0.0","0.0",,"66","40","40",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-25",,,,,"0.05","0.0","0.0",,"62","40","49",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-26",,,,,"0.34","0.0","0.0",,"56","49","53",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-27",,,,,"0.01","0.0","0.0",,"62","53","57",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-28",,,,,"0.00","0.0","0.0",,"71","57","58",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-29",,,,,"0.00","0.0","0.0",,"82","57","61",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-04-30",,,,,"0.00","0.0","0.0",,"82","55","56",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-01",,,,,"0.00","0.0","0.0",,"64","47","48",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-02",,,,,"0.06","0.0","0.0",,"76","47","64",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-03",,,,,"0.00","0.0","0.0",,"71","56","56",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-04",,,,,"0.00","0.0","0.0",,"63","37","38",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-05",,,,,"0.06","0.0","0.0",,"62","38","49",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-06",,,,,"1.06","0.0","0.0",,"60","48","60",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-07",,,,,"0.10","0.0","0.0",,"65","48","51",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-08",,,,,"0.02","0.0","0.0",,"55","32","43",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-09",,,,,"0.00","0.0","0.0",,"57","39","40",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-10",,,,,"0.00","0.0","0.0",,"60","40","45",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-11",,,,,"0.00","0.0","0.0",,"64","38","39",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-12",,,,,"0.00","0.0","0.0",,"61","39","41",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-13",,,,,"0.23","0.0","0.0",,"63","41","48",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-14",,,,,"1.43","0.0","0.0",,"50","44","47",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-15",,,,,"0.00","0.0","0.0",,"66","47","54",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-16",,,,,"0.00","0.0","0.0",,"67","51","54",,,,,,,,,,,,,,,,
